v8-version,6,2,414,54,0
code-creation,Builtin,5,2221,0x3485bc34d2a0,76,"ToBoolean"
code-creation,Builtin,5,2222,0x3485bc34d360,3876,"ResolveNativePromise"
code-creation,Builtin,5,2222,0x3485bc34e300,284,"StringEqual"
code-creation,Builtin,5,2223,0x3485bc34e480,5140,"PerformNativePromiseThen"
code-creation,Builtin,5,2224,0x3485bc34f900,668,"RejectNativePromise"
code-creation,Builtin,5,2225,0x3485bc34fc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,2225,0x3485bc350460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,2226,0x3485bc350b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,2229,0x3485bc350f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,2230,0x3485bc351120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,2231,0x3485bc3512c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,2231,0x3485bc3513a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,2232,0x3485bc351880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,2232,0x3485bc351c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,2233,0x3485bc352080,15,"Illegal"
code-creation,Builtin,5,2234,0x3485bc352100,15,"ObjectAssign"
code-creation,Builtin,5,2234,0x3485bc352180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,2235,0x3485bc352200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,2236,0x3485bc352280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,2236,0x3485bc352300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,2237,0x3485bc352380,15,"ObjectIs"
code-creation,Builtin,5,2238,0x3485bc352400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,2238,0x3485bc352480,15,"ObjectSeal"
code-creation,Builtin,5,2239,0x3485bc352500,848,"ObjectCreate"
code-creation,Builtin,5,2239,0x3485bc3528c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,2240,0x3485bc352940,15,"ObjectDefineProperty"
code-creation,Builtin,5,2241,0x3485bc3529c0,15,"ObjectFreeze"
code-creation,Builtin,5,2241,0x3485bc352a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,2242,0x3485bc352ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,2242,0x3485bc352b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,2243,0x3485bc352bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,2244,0x3485bc352c40,15,"ObjectIsSealed"
code-creation,Builtin,5,2244,0x3485bc352cc0,540,"ObjectKeys"
code-creation,Builtin,5,2245,0x3485bc352f40,15,"ObjectEntries"
code-creation,Builtin,5,2245,0x3485bc352fc0,15,"ObjectValues"
code-creation,Builtin,5,2246,0x3485bc353040,15,"ObjectDefineGetter"
code-creation,Builtin,5,2246,0x3485bc3530c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,2247,0x3485bc353140,1935,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,2248,0x3485bc353940,15,"ObjectLookupGetter"
code-creation,Builtin,5,2248,0x3485bc3539c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,2249,0x3485bc353a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,2249,0x3485bc353b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,2250,0x3485bc353c00,1176,"ObjectPrototypeToString"
code-creation,Builtin,5,2251,0x3485bc354100,132,"ClassOf"
code-creation,Builtin,5,2251,0x3485bc354200,47,"ObjectPrototypeValueOf"
